Franchise,Tier,Routine Timing,Step Number,Product,Primary Age Range,Sensitive Swap
BioLumin-C,Comprehensive,AM,7,BioLumin-C Heat Aging Protector SPF50,25–34,
BioLumin-C,Comprehensive,PM,1,Precleanse Cleansing Oil,25–34,
BioLumin-C,Comprehensive,PM,2,Special Cleansing Gel,25–34,UltraCalming Cleanser
BioLumin-C,Comprehensive,PM,3,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Comprehensive,PM,4,Antioxidant HydraMist,25–34,UltraCalming Mist
BioLumin-C,Comprehensive,PM,5,BioLumin-C Night Restore,25–34,
BioLumin-C,Comprehensive,PM,6,BioLumin-C Vitamin C Eye Serum,25–34,
BioLumin-C,Comprehensive,PM,7,BioLumin-C Vitamin C Gel Moisturizer,25–34,stabilizing repair cream
Clear Start,Essential,AM,1,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Essential,AM,2,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Essential,AM,3,Clearing Defense SPF30,Under 18,
Clear Start,Essential,PM,1,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Essential,PM,2,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Essential,PM,3,Skin Soothing Hydrating Lotion,Under 18,stabilizing repair cream
Clear Start,Enhanced,AM,1,Precleanse Cleansing Oil,Under 18,
Clear Start,Enhanced,AM,2,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Enhanced,AM,3,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Enhanced,AM,4,Breakout Clearing Booster,Under 18,
Clear Start,Enhanced,AM,5,Clearing Defense SPF30,Under 18,
Clear Start,Enhanced,PM,1,Precleanse Cleansing Oil,Under 18,
Clear Start,Enhanced,PM,2,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Enhanced,PM,3,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Enhanced,PM,4,PowerBright Dark Spot Serum,Under 18,
Clear Start,Enhanced,PM,5,Skin Soothing Hydrating Lotion,Under 18,stabilizing repair cream
Clear Start,Comprehensive,AM,1,Precleanse Cleansing Oil,Under 18,
Clear Start,Comprehensive,AM,2,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Comprehensive,AM,3,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Comprehensive,AM,4,Multi-Active Toner,Under 18,UltraCalming Mist
Clear Start,Comprehensive,AM,5,Breakout Clearing Booster,Under 18,
Clear Start,Comprehensive,AM,6,Stress Positive Eye Lift,Under 18,
Clear Start,Comprehensive,AM,7,Clearing Defense SPF30,Under 18,
Clear Start,Comprehensive,PM,1,Precleanse Cleansing Oil,Under 18,
Clear Start,Comprehensive,PM,2,Breakout Clearing Foaming Wash,Under 18,UltraCalming Cleanser
Clear Start,Comprehensive,PM,3,Daily Microfoliant,Under 18,Daily Milkfoliant
Clear Start,Comprehensive,PM,4,Multi-Active Toner,Under 18,UltraCalming Mist
Clear Start,Comprehensive,PM,5,PowerBright Dark Spot Serum,Under 18,
Clear Start,Comprehensive,PM,6,Stress Positive Eye Lift,Under 18,
Clear Start,Comprehensive,PM,7,Skin Soothing Hydrating Lotion,Under 18,stabilizing repair cream
Dynamic Skin,Essential,AM,1,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Essential,AM,2,Daily Microfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Essential,AM,3,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
Dynamic Skin,Essential,PM,1,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Essential,PM,2,Daily Superfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Essential,PM,3,Super Rich Repair Moisturizer,35–44,Stabilizing Repair Cream
Dynamic Skin,Enhanced,AM,1,Precleanse Cleansing Oil,35–44,
Dynamic Skin,Enhanced,AM,2,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Enhanced,AM,3,Daily Superfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Enhanced,AM,4,Dynamic Skin Strengthening Serum,35–44,
Dynamic Skin,Enhanced,AM,5,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
Dynamic Skin,Enhanced,PM,1,Precleanse Cleansing Oil,35–44,
Dynamic Skin,Enhanced,PM,2,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Enhanced,PM,3,Daily Superfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Enhanced,PM,4,Dynamic Skin Retinol Serum,35–44,
Dynamic Skin,Enhanced,PM,5,Super Rich Repair Moisturizer,35–44,Stabilizing Repair Cream
Dynamic Skin,Comprehensive,AM,1,Precleanse Cleansing Oil,35–44,
Dynamic Skin,Comprehensive,AM,2,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Comprehensive,AM,3,Daily Superfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Comprehensive,AM,4,Antioxidant Hydramist,35–44,UltraCalming Mist
Dynamic Skin,Comprehensive,AM,5,Dynamic Skin Strengthening Serum,35–44,
Dynamic Skin,Comprehensive,AM,6,Age Reversal Eye Complex,35–44,
Dynamic Skin,Comprehensive,AM,7,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
Dynamic Skin,Comprehensive,PM,1,Precleanse Cleansing Oil,35–44,
Dynamic Skin,Comprehensive,PM,2,Skin Resurfacing Lactic Acid Cleanser,35–44,UltraCalming Cleanser
Dynamic Skin,Comprehensive,PM,3,Daily Superfoliant,35–44,Daily Milkfoliant
Dynamic Skin,Comprehensive,PM,4,Antioxidant Hydramist,35–44,UltraCalming Mist
Dynamic Skin,Comprehensive,PM,5,Dynamic Skin Retinol Serum,35–44,
Dynamic Skin,Comprehensive,PM,6,Age Reversal Eye Complex,35–44,
Dynamic Skin,Comprehensive,PM,7,Super Rich Repair Moisturizer,35–44,Stabilizing Repair Cream
MultiVitamin Power,Essential,AM,1,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Essential,AM,2,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Essential,AM,3,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
MultiVitamin Power,Essential,PM,1,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Essential,PM,2,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Essential,PM,3,Multivitamin Power Recovery Cream,35–44,stabilizing repair cream
MultiVitamin Power,Enhanced,AM,1,Precleanse Cleansing Oil,35–44,
MultiVitamin Power,Enhanced,AM,2,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Enhanced,AM,3,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Enhanced,AM,4,Multivitamin Power Recovery Cream,35–44,
MultiVitamin Power,Enhanced,AM,5,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
MultiVitamin Power,Enhanced,PM,1,Precleanse Cleansing Oil,35–44,
MultiVitamin Power,Enhanced,PM,2,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Enhanced,PM,3,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Enhanced,PM,4,Multivitamin Power Recovery Masque,35–44,
MultiVitamin Power,Enhanced,PM,5,Multivitamin Power Recovery Cream,35–44,stabilizing repair cream
MultiVitamin Power,Comprehensive,AM,1,Precleanse Cleansing Oil,35–44,
MultiVitamin Power,Comprehensive,AM,2,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Comprehensive,AM,3,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Comprehensive,AM,4,Antioxidant HydraMist,35–44,UltraCalming Mist
MultiVitamin Power,Comprehensive,AM,5,Multivitamin Power Recovery Cream,35–44,
MultiVitamin Power,Comprehensive,AM,6,Multivitamin Power Firm Eye Cream,35–44,
MultiVitamin Power,Comprehensive,AM,7,Dynamic Skin Recovery SPF50 Moisturizer,35–44,
MultiVitamin Power,Comprehensive,PM,1,Precleanse Cleansing Oil,35–44,
MultiVitamin Power,Comprehensive,PM,2,Magnetic[+] Afterglow Cleanser,35–44,UltraCalming Cleanser
MultiVitamin Power,Comprehensive,PM,3,Multivitamin Thermafoliant,35–44,Daily Milkfoliant
MultiVitamin Power,Comprehensive,PM,4,Antioxidant Hydramist,35–44,UltraCalming Mist
MultiVitamin Power,Comprehensive,PM,5,Multivitamin Power Recovery Masque,35–44,
MultiVitamin Power,Comprehensive,PM,6,Multivitamin Power Firm Eye Cream,35–44,
MultiVitamin Power,Comprehensive,PM,7,Multivitamin Power Recovery Cream,35–44,stabilizing repair cream
PowerBright,Essential,AM,1,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Essential,AM,2,Daily Microfoliant,25–44,Daily Milkfoliant
PowerBright,Essential,AM,3,PowerBright Moisturizer SPF50,25–44,
PowerBright,Essential,PM,1,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Essential,PM,2,Daily Microfoliant,25–44,Daily Milkfoliant
PowerBright,Essential,PM,3,PowerBright Overnight Cream,25–44,Stabilizing Repair Cream
PowerBright,Enhanced,AM,1,Precleanse Cleansing Oil,25–44,
PowerBright,Enhanced,AM,2,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Enhanced,AM,3,PowerBright Dark Spot Peel,25–44,Daily Milkfoliant
PowerBright,Enhanced,AM,4,PowerBright Dark Spot Serum,25–44,
PowerBright,Enhanced,AM,5,PowerBright Moisturizer SPF50,25–44,
PowerBright,Enhanced,PM,1,Precleanse Cleansing Oil,25–44,
PowerBright,Enhanced,PM,2,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Enhanced,PM,3,PowerBright Dark Spot Peel,25–44,Daily Milkfoliant
PowerBright,Enhanced,PM,4,PowerBright Dark Spot Serum,25–44,
PowerBright,Enhanced,PM,5,PowerBright Overnight Cream,25–44,Stabilizing Repair Cream
PowerBright,Comprehensive,AM,1,Precleanse Cleansing Oil,25–44,
PowerBright,Comprehensive,AM,2,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Comprehensive,AM,3,Daily Microfoliant,25–44,Daily Milkfoliant
PowerBright,Comprehensive,AM,4,Multi-Active Toner,25–44,UltraCalming Mist
PowerBright,Comprehensive,AM,5,PowerBright Dark Spot Serum,25–44,
PowerBright,Comprehensive,AM,6,Stress Positive Eye Lift,25–44,
PowerBright,Comprehensive,AM,7,PowerBright Moisturizer SPF50,25–44,
PowerBright,Comprehensive,PM,1,Precleanse Cleansing Oil,25–44,
PowerBright,Comprehensive,PM,2,Special Cleansing Gel,25–44,UltraCalming Cleanser
PowerBright,Comprehensive,PM,3,PowerBright Dark Spot Peel,25–44,Daily Milkfoliant
PowerBright,Comprehensive,PM,4,Multi-Active Toner,25–44,UltraCalming Mist
PowerBright,Comprehensive,PM,5,PowerBright Dark Spot Serum,25–44,
PowerBright,Comprehensive,PM,6,BioLumin-C Vitamin C Eye Serum,25–44,
PowerBright,Comprehensive,PM,7,PowerBright Overnight Cream,25–44,Stabilizing Repair Cream
Phyto-Nature,Essential,AM,1,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Essential,AM,2,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Essential,AM,3,Dynamic Skin Recovery SPF50 Moisturizer,45+,Calm Water Gel
Phyto-Nature,Essential,PM,1,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Essential,PM,2,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Essential,PM,3,Phyto Nature Oxygen Cream,45+,Calm Water Gel
Phyto-Nature,Enhanced,AM,1,Precleanse Cleansing Oil,45+,
Phyto-Nature,Enhanced,AM,2,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Enhanced,AM,3,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Enhanced,AM,4,Phyto Nature Firming Serum,45+,
Phyto-Nature,Enhanced,AM,5,Dynamic Skin Recovery SPF50 Moisturizer,45+,Calm Water Gel
Phyto-Nature,Enhanced,PM,1,Precleanse Cleansing Oil,45+,
Phyto-Nature,Enhanced,PM,2,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Enhanced,PM,3,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Enhanced,PM,4,Phyto Nature Firming Serum,45+,
Phyto-Nature,Enhanced,PM,5,Phyto Nature Oxygen Cream,45+,Calm Water Gel
Phyto-Nature,Comprehensive,AM,1,Precleanse Cleansing Oil,45+,
Phyto-Nature,Comprehensive,AM,2,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Comprehensive,AM,3,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Comprehensive,AM,4,Multi-Active Toner,45+,UltraCalming Mist
Phyto-Nature,Comprehensive,AM,5,Phyto Nature Firming Serum,45+,
Phyto-Nature,Comprehensive,AM,6,Phyto Nature Lifting Eye Cream,45+,
Phyto-Nature,Comprehensive,AM,7,Dynamic Skin Recovery SPF50 Moisturizer,45+,Calm Water Gel
Phyto-Nature,Comprehensive,PM,1,Precleanse Cleansing Oil,45+,
Phyto-Nature,Comprehensive,PM,2,Special Cleansing Gel,45+,UltraCalming Cleanser
Phyto-Nature,Comprehensive,PM,3,Phyto Nature E² Regenerating Daily Exosome Leave-On Treatment,45+,Daily Milkfoliant
Phyto-Nature,Comprehensive,PM,4,Antioxidant HydraMist,45+,UltraCalming Mist
Phyto-Nature,Comprehensive,PM,5,Phyto Nature Firming Serum,45+,
Phyto-Nature,Comprehensive,PM,6,Phyto Nature Lifting Eye Cream,45+,
Phyto-Nature,Comprehensive,PM,7,Phyto Nature Oxygen Cream,45+,Calm Water Gel
UltraCalming,Essential,AM,1,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Essential,AM,2,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Essential,AM,3,Invisible Physical Defense SPF30,All (sensitivity-led),
UltraCalming,Essential,PM,1,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Essential,PM,2,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Essential,PM,3,Stabilizing Repair Cream,All (sensitivity-led),
UltraCalming,Enhanced,AM,1,Precleanse Cleansing Oil,All (sensitivity-led),
UltraCalming,Enhanced,AM,2,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Enhanced,AM,3,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Enhanced,AM,4,UltraCalming Serum Concentrate,All (sensitivity-led),
UltraCalming,Enhanced,AM,5,Invisible Physical Defense SPF30,All (sensitivity-led),
UltraCalming,Enhanced,PM,1,Precleanse Cleansing Oil,All (sensitivity-led),
UltraCalming,Enhanced,PM,2,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Enhanced,PM,3,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Enhanced,PM,4,UltraCalming Serum Concentrate,All (sensitivity-led),
UltraCalming,Enhanced,PM,5,Stabilizing Repair Cream,All (sensitivity-led),
UltraCalming,Comprehensive,AM,1,Precleanse Cleansing Oil,All (sensitivity-led),
UltraCalming,Comprehensive,AM,2,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Comprehensive,AM,3,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Comprehensive,AM,4,UltraCalming Mist,All (sensitivity-led),
UltraCalming,Comprehensive,AM,5,UltraCalming Serum Concentrate,All (sensitivity-led),
UltraCalming,Comprehensive,AM,6,Multivitamin Power Firm Eye Cream,All (sensitivity-led),
UltraCalming,Comprehensive,AM,7,Invisible Physical Defense SPF30,All (sensitivity-led),
UltraCalming,Comprehensive,PM,1,Precleanse Cleansing Oil,All (sensitivity-led),
UltraCalming,Comprehensive,PM,2,UltraCalming Cleanser,All (sensitivity-led),
UltraCalming,Comprehensive,PM,3,Daily Milkfoliant,All (sensitivity-led),
UltraCalming,Comprehensive,PM,4,UltraCalming Mist,All (sensitivity-led),
UltraCalming,Comprehensive,PM,5,UltraCalming Serum Concentrate,All (sensitivity-led),
UltraCalming,Comprehensive,PM,6,Multivitamin Power Firm Eye Cream,All (sensitivity-led),
UltraCalming,Comprehensive,PM,7,Stabilizing Repair Cream,All (sensitivity-led),
